"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R5","0603_-_NO_SILK","17634.25mil","8273.003mil","17634.25mil","8273.003mil","17634.25mil","8306.003mil","T","270.00","Resistor"
"R16","0603_-_NO_SILK","17474.25mil","8273.003mil","17474.25mil","8273.003mil","17474.25mil","8306.003mil","T","270.00","Resistor"
"R3","0603_-_NO_SILK","18054.25mil","8433.003mil","18054.25mil","8433.003mil","18054.25mil","8400.003mil","T","90.00","Resistor"
"R2","0603_-_NO_SILK","17734.25mil","8533.003mil","17734.25mil","8533.003mil","17701.25mil","8533.003mil","T","360.00","Resistor"
"R1","0603_-_NO_SILK","17734.25mil","8173.003mil","17734.25mil","8173.003mil","17701.25mil","8173.003mil","T","360.00","Resistor"
"H2","HDR1X12","18240mil","9603mil","18240mil","10153mil","18240mil","10153mil","T","270.00","SparkIO Header 2"
"H1","HDR1X12","17540mil","9603mil","17540mil","10153mil","17540mil","10153mil","T","270.00","SparkIO Header 1"
"C13","0603_-_NO_SILK","17815mil","9903mil","17815mil","9903mil","17815mil","9936mil","T","270.00","Capacitor"
"C12","0603_-_NO_SILK","18015mil","9903mil","18015mil","9903mil","18015mil","9936mil","T","270.00","Capacitor"
"C11","0603_-_NO_SILK","17356.926mil","8316.777mil","17356.926mil","8316.777mil","17323.926mil","8316.777mil","T","360.00","Capacitor"
"C10","0603_-_NO_SILK","17356.929mil","8509.675mil","17356.929mil","8509.675mil","17323.929mil","8509.675mil","T","360.00","Capacitor"
"C9","0603_-_NO_SILK","18230mil","8233mil","18230mil","8233mil","18197mil","8233mil","T","360.00","Capacitor"
"C8","0603_-_NO_SILK","18115mil","9903mil","18115mil","9903mil","18115mil","9936mil","T","270.00","Capacitor"
"C7","0603_-_NO_SILK","17915mil","9903mil","17915mil","9903mil","17915mil","9936mil","T","270.00","Capacitor"
"C6","0603_-_NO_SILK","18850mil","8433mil","18850mil","8433mil","18850mil","8466mil","T","270.00","Capacitor"
"C5","0603_-_NO_SILK","18850mil","8273mil","18850mil","8273mil","18850mil","8306mil","T","270.00","Capacitor"
"C4","0603_-_NO_SILK","18470mil","8273mil","18470mil","8273mil","18470mil","8306mil","T","270.00","Capacitor"
"C3","0603_-_NO_SILK","17934.25mil","8433.003mil","17934.25mil","8433.003mil","17934.25mil","8466.003mil","T","270.00","Capacitor"
"C2","0603_-_NO_SILK","17934.25mil","8273.003mil","17934.25mil","8273.003mil","17934.25mil","8306.003mil","T","270.00","Capacitor"
"C1","0603_-_NO_SILK","17554.25mil","8273.003mil","17554.25mil","8273.003mil","17554.25mil","8306.003mil","T","270.00","Capacitor"
"DS1","LED0603_-_Single","18340mil","12143mil","18340mil","12143mil","18340mil","12176mil","T","270.00","PowerInd"
"J2","PCC-SMP_K_Thermocouple","18666.378mil","11160.795mil","18666.378mil","11426.543mil","18396.693mil","11426.543mil","T","0.00","Thermocouple B"
"J1","PCC-SMP_K_Thermocouple","17839.606mil","11160.795mil","17839.606mil","11426.543mil","17569.921mil","11426.543mil","T","0.00","Thermocouple A"
"J4","Audio_Jack_2.5mm_Mono","17125.827mil","10994.496mil","17240mil","10963mil","17149.449mil","10864.575mil","T","270.00","Thermistor B"
"J3","Audio_Jack_2.5mm_Mono","17125.827mil","11384.496mil","17240mil","11353mil","17149.449mil","11254.575mil","T","270.00","Thermistor A"
"U2","SOIC8","18710mil","11750.008mil","18710mil","11750.008mil","18635mil","11657.488mil","T","90.00","OPAMP dual"
"U1","SOIC8","17787.793mil","11750.011mil","17787.793mil","11750.011mil","17712.793mil","11657.491mil","T","90.00","OPAMP dual"
"TB2","Terminal_Block_3.5mm_x_12","18900mil","12867.173mil","18900mil","12003mil","18900mil","12109.299mil","T","90.00","SparkIO Terminal Block 2"
